Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Diego Uriarte	Equipo Kern Pharma	Spain	180 cm	67 kg	24 jaar	44	42	20	40	34	33	46	34	42	49
Xabier Isasa	Euskaltel-Euskadi	Spain	185 cm	0 kg	24 jaar	43	37	28	44	27	43	20	36	49	20
Jonas Hem Hvideberg	Uno-X Mobility	Norway	185 cm	0 kg	27 jaar	43	38	35	38	28	44	20	28	53	20
Baptiste Veistroffer	Lotto-Intermarché	France	182 cm	73 kg	25 jaar	43	40	43	39	34	42	28	32	51	25
Mattia Gaffuri	Team Picnic PostNL	Italy	184 cm	67 kg	26 jaar	43	33	20	46	39	25	20	29	50	20
Rudy Porter	Team Jayco-AlUla	Australia	179 cm	66 kg	25 jaar	43	34	20	46	30	36	20	37	43	20
Jorge Arcas	Movistar Team	Spain	187 cm	68 kg	33 jaar	43	35	20	44	27	41	20	38	44	20
Vicente Rojas	Bardiani CSF 7 Saber	Chile	169 cm	0 kg	23 jaar	43	31	20	46	35	29	20	32	48	20
Siebe Deweirdt	Team Flanders-Baloise	Belgium	185 cm	69 kg	23 jaar	43	38	41	42	23	41	23	28	54	24
Luc Wirtgen	Tudor Pro Cycling Team	Luxembourg	180 cm	63 kg	27 jaar	43	33	20	46	28	37	20	32	45	20
Henri Vandenabeele	Team Flanders-Baloise	Belgium	181 cm	0 kg	25 jaar	43	34	27	47	28	31	20	33	50	20
Darren van Bekkum	XDS Astana Team	Netherlands	176 cm	62 kg	23 jaar	43	32	20	46	36	35	20	37	43	20
Aivaras Mikutis	Tudor Pro Cycling Team	Lithuania	184 cm	0 kg	23 jaar	43	45	38	39	27	39	43	29	50	44
Andrea Peron	Team Novo Nordisk	Italy	178 cm	70 kg	37 jaar	43	36	26	36	24	49	20	28	42	20
Andrea Mifsud	Team Polti VisitMalta	Malta		0 kg	26 jaar	43	37	20	45	25	36	31	34	50	29
Julen Arriolabengoa	Caja Rural-Seguros RGA	Spain	174 cm	52 kg	25 jaar	43	33	30	47	36	31	20	33	46	20
Owen Geleijn	Unibet Rose Rockets	Netherlands	186 cm	0 kg	25 jaar	43	36	33	43	39	38	20	32	51	20
Jacob Eriksson	Tudor Pro Cycling Team	Sweden	182 cm	0 kg	26 jaar	42	37	36	43	27	40	20	28	49	20
Matteo Ambrosini	MBH Bank Ballan Telecom Fort	Italy	188 cm	0 kg	23 jaar	42	35	20	46	31	29	27	27	49	24
Robin Orins	Lotto-Intermarché	Belgium	190 cm	0 kg	23 jaar	42	43	36	37	27	37	44	27	47	42
Roland Thalmann	Tudor Pro Cycling Team	Switzerland	178 cm	61 kg	32 jaar	42	34	20	44	37	33	33	35	46	31
Timo Roosen	Team Picnic PostNL	Netherlands	193 cm	78 kg	33 jaar	42	38	44	30	23	40	20	34	45	20
Tim Naberman	Team Picnic PostNL	Netherlands	187 cm	70 kg	26 jaar	42	36	34	31	24	44	20	37	45	20
Jamie Meehan	Cofidis	Ireland		0 kg	22 jaar	42	32	20	41	44	32	20	31	43	20
Oscar Riesebeek	Alpecin-Premier Tech	Netherlands	191 cm	78 kg	33 jaar	42	36	44	37	24	40	20	33	43	20
Roman Ermakov	Bahrain Victorious	Russia		0 kg	21 jaar	42	38	41	43	29	30	28	35	48	20
Hamish McKenzie	Team Jayco-AlUla	Australia	176 cm	70 kg	21 jaar	41	39	27	27	22	28	47	27	39	48
Noah Vandenbranden	Team Flanders-Baloise	Belgium	181 cm	74 kg	23 jaar	41	37	27	26	21	45	31	24	45	32
Rayan Boulahoite	Team TotalEnergies	France	183 cm	75 kg	21 jaar	41	39	37	38	27	42	20	34	46	20
Lorenzo Nespoli	MBH Bank Ballan Telecom Fort	Italy	185 cm	0 kg	21 jaar	41	36	20	36	30	27	36	24	38	20
Jokin Murguialday	Euskaltel-Euskadi	Spain	173 cm	57 kg	25 jaar	41	31	23	38	40	25	28	41	41	20
Christopher Juul-Jensen	Team Jayco-AlUla	Denmark	183 cm	73 kg	36 jaar	41	31	30	40	35	32	27	43	43	27
Sinuhé Fernández	Burgos Burpellet BH	Spain	180 cm	60 kg	25 jaar	41	30	20	43	32	33	20	35	45	20
Rotem Tene	NSN Cycling Team	Israel	180 cm	72 kg	24 jaar	41	43	29	35	25	45	20	25	43	20
Edoardo Zamperini	Cofidis	Italy	178 cm	0 kg	22 jaar	41	38	24	45	30	32	20	31	44	20
Henri-Francois Haquin	Team Picnic PostNL	France	185 cm	74 kg	23 jaar	41	39	32	41	23	41	20	29	51	20
Pietro Mattio	Team Visma | Lease a Bike	Italy	184 cm	70 kg	21 jaar	41	37	33	43	29	36	20	32	45	20
Anton Kuzmin	XDS Astana Team	Kazakhstan	186 cm	66 kg	29 jaar	41	34	20	43	32	30	27	36	45	26
Scott McGill	Modern Adventure Pro Cycling	United States		0 kg	27 jaar	41	36	20	36	21	46	20	25	41	20
Matthew Fox	Lotto-Intermarché	Australia	175 cm	71 kg	23 jaar	41	38	20	31	26	47	23	28	40	23
Alex Díaz	Caja Rural-Seguros RGA	Spain	167 cm	62 kg	24 jaar	40	34	20	42	28	39	20	26	48	20
Luca Cretti	MBH Bank Ballan Telecom Fort	Italy	180 cm	63 kg	24 jaar	40	34	20	43	33	29	20	30	48	20
Vegard Stake Laengen	UAE Team Emirates-XRG	Norway	195 cm	79 kg	37 jaar	40	35	37	40	34	35	25	35	48	24
Matteo Milan	Groupama-FDJ United	Italy		0 kg	23 jaar	40	39	29	32	21	45	29	24	40	28
Nikita Tsvetkov	Bardiani CSF 7 Saber	Uzbekistan	181 cm	67 kg	21 jaar	40	39	20	40	25	40	25	33	36	25
Lorenzo Masciarelli	MBH Bank Ballan Telecom Fort	Italy		0 kg	22 jaar	40	37	20	44	29	29	20	29	48	20
Aaron Dockx	Alpecin-Premier Tech	Belgium	173 cm	56 kg	21 jaar	40	37	35	42	37	32	20	31	42	20
Paul Wright	Modern Adventure Pro Cycling	New Zealand		0 kg	28 jaar	40	36	25	42	25	36	31	33	44	33
Cole Kessler	Modern Adventure Pro Cycling	United States	198 cm	75 kg	22 jaar	39	39	29	35	29	29	41	26	42	41
Fran Miholjević	Bahrain Victorious	Croatia	189 cm	72 kg	23 jaar	39	31	37	39	32	29	23	38	41	20
Danny van der Tuuk	Euskaltel-Euskadi	Poland	180 cm	64 kg	26 jaar	39	38	27	38	24	36	38	30	45	39
Tommaso Nencini	Solution Tech-NIPPO-Rali	Italy		0 kg	25 jaar	39	34	20	29	22	46	26	25	35	25
Domen Novak	UAE Team Emirates-XRG	Slovenia	181 cm	70 kg	30 jaar	39	29	20	39	37	26	24	38	40	20
Ferre Geeraerts	Team Flanders-Baloise	Belgium	183 cm	0 kg	23 jaar	39	38	28	28	20	28	44	20	38	41
Roberto González	Solution Tech-NIPPO-Rali	Panama		0 kg	31 jaar	39	32	20	39	30	38	20	38	40	20
Alastair Mackellar	EF Education-EasyPost	Australia	184 cm	69 kg	24 jaar	39	32	20	40	31	36	28	32	46	29
Max van der Meulen	Bahrain Victorious	Netherlands	183 cm	67 kg	22 jaar	39	31	24	40	36	31	20	35	38	20
Luke Tuckwell	Red Bull-BORA-hansgrohe	Australia	182 cm	66 kg	21 jaar	39	31	20	41	35	28	20	34	40	20
Sergei Rostovtsev	Bardiani CSF 7 Saber	Uzbekistan	180 cm	73 kg	28 jaar	39	37	20	30	22	45	25	24	33	20
Đorđe Đurić	Solution Tech-NIPPO-Rali	Serbia	193 cm	79 kg	25 jaar	39	34	20	29	24	45	20	28	26	20
Barnabas Peák	MBH Bank Ballan Telecom Fort	Hungary	183 cm	74 kg	27 jaar	39	37	23	33	21	32	41	26	39	44
Tobias Svarre	Uno-X Mobility	Denmark	178 cm	0 kg	21 jaar	39	30	20	43	29	24	28	29	41	27
Louis Sutton	Euskaltel-Euskadi	Great Britain	178 cm	68 kg	23 jaar	39	34	28	41	28	36	20	29	44	20
Javier Ibáñez	Caja Rural-Seguros RGA	Spain	188 cm	67 kg	24 jaar	38	33	20	30	26	41	27	27	43	27
Nil Gimeno	Equipo Kern Pharma	Spain	174 cm	60 kg	21 jaar	38	30	20	41	29	29	20	27	41	20
Lennert Belmans	Alpecin-Premier Tech	Belgium	189 cm	72 kg	24 jaar	38	37	38	33	25	35	20	26	45	20
Filip Gruszczynski	MBH Bank Ballan Telecom Fort	Poland	178 cm	60 kg	21 jaar	38	31	20	41	29	26	20	29	42	20
Tim Rex	Team Visma | Lease a Bike	Belgium	190 cm	70 kg	21 jaar	38	36	27	39	33	33	20	29	45	20
Alexy Faure-Prost	Team Picnic PostNL	France	185 cm	67 kg	21 jaar	38	29	20	39	37	34	20	35	39	20
Peter Øxenberg	INEOS Grenadiers	Denmark	191 cm	69 kg	20 jaar	38	31	22	39	35	24	31	31	39	31
Josh Burnett	Burgos Burpellet BH	New Zealand	187 cm	73 kg	25 jaar	38	33	32	38	36	28	20	36	38	20
Haoyu Su	XDS Astana Team	China	179 cm	64 kg	25 jaar	38	33	20	29	24	24	41	29	35	44
Martín Herreño	Bardiani CSF 7 Saber	Colombia		0 kg	19 jaar	38	30	20	39	35	28	20	31	42	20
Márk Valent	MBH Bank Ballan Telecom Fort	Hungary		0 kg	21 jaar	37	31	20	40	30	29	20	26	43	20
Josh Kench	Groupama-FDJ United	New Zealand		0 kg	24 jaar	37	33	20	33	25	26	32	38	30	31
Iñigo Elosegui	Equipo Kern Pharma	Spain	188 cm	75 kg	27 jaar	37	36	38	38	26	32	22	32	40	22
Gabriele Raccagni	Team Polti VisitMalta	Italy	183 cm	63 kg	23 jaar	37	33	20	30	27	41	29	28	35	29
Storm Ingebrigtsen	Uno-X Mobility	Norway	194 cm	0 kg	21 jaar	37	39	20	37	30	34	20	33	39	20
Filippo Ridolfo	Team Novo Nordisk	Italy	187 cm	0 kg	24 jaar	37	33	26	35	22	39	20	29	42	20
Joseph Pidcock	Pinarello-Q36.5 Pro Cycling Team	Great Britain	170 cm	57 kg	23 jaar	36	31	24	32	30	36	25	34	30	20
Felix Ørn-Kristoff	Lotto-Intermarché	Norway	183 cm	76 kg	19 jaar	36	36	29	30	20	38	20	30	39	20
Nicolas Debeaumarché	Cofidis	France	189 cm	75 kg	27 jaar	36	31	25	35	26	36	20	34	41	20
Leo Hayter	Modern Adventure Pro Cycling	Great Britain	180 cm	68 kg	24 jaar	36	33	28	30	23	28	38	31	34	41
Ayco Bastiaens	Soudal Quick-Step	Belgium	191 cm	76 kg	29 jaar	36	32	29	29	23	38	20	32	39	20
Nicola Marcerou	Team TotalEnergies	France	175 cm	0 kg	23 jaar	36	34	20	33	20	38	20	25	42	20
Alessandro Perracchione	Team Novo Nordisk	Italy		0 kg	21 jaar	36	30	20	28	22	40	20	30	33	20
Vojtech Kminek	Burgos Burpellet BH	Czech Republic	187 cm	75 kg	25 jaar	36	33	20	29	24	40	20	24	36	20
Eivind Fougner	Unibet Rose Rockets	Norway		0 kg	22 jaar	36	27	20	37	30	24	22	34	35	20
Hugo Aznar	Equipo Kern Pharma	Spain	168 cm	59 kg	22 jaar	36	31	20	37	32	26	30	30	39	30
Nicolas Alustiza	Euskaltel-Euskadi	Spain	185 cm	0 kg	23 jaar	35	31	20	33	26	35	20	32	39	20
Pablo Carrascosa	Equipo Kern Pharma	Spain	178 cm	58 kg	23 jaar	35	31	33	36	30	24	20	26	38	20
Robbe Dhondt	Team Picnic PostNL	Belgium	176 cm	0 kg	21 jaar	35	31	26	36	25	32	29	29	40	27
Franklin Archibold	Solution Tech-NIPPO-Rali	Panama		0 kg	28 jaar	35	36	20	31	22	31	36	24	40	37
Christian Bagatin	MBH Bank Ballan Telecom Fort	Italy	183 cm	75 kg	23 jaar	35	34	20	32	25	28	34	24	38	29
Artuur Torney	Team Flanders-Baloise	Belgium		0 kg	22 jaar	35	34	28	25	20	39	20	20	38	20
Oliver Peace	Team Picnic PostNL	Great Britain	186 cm	64 kg	20 jaar	35	31	24	35	32	31	20	32	33	20
Sean Christian	Modern Adventure Pro Cycling	United States	186 cm	0 kg	23 jaar	34	31	22	31	27	35	20	26	38	20
Pablo Garcia	Team Polti VisitMalta	Spain	182 cm	0 kg	25 jaar	34	27	20	34	34	22	27	25	38	27
Andrea Piras	Solution Tech-NIPPO-Rali	Italy		0 kg	24 jaar	34	29	20	35	30	29	20	25	36	20
Albert Torres	Movistar Team	Spain	180 cm	70 kg	35 jaar	34	30	32	31	24	34	26	33	36	27
Oliver Stockwell	Bahrain Victorious	Great Britain	182 cm	0 kg	23 jaar	34	28	25	33	29	34	20	29	37	20
Senne Thonnon	Team Flanders-Baloise	Belgium	181 cm	0 kg	22 jaar	33	31	20	33	20	31	28	21	38	26
Felix Meo	Solution Tech-NIPPO-Rali	New Zealand		0 kg	28 jaar	33	29	20	32	22	35	20	26	36	20
Titouan Fontaine	Groupama-FDJ United	France	183 cm	70 kg	20 jaar	33	34	30	30	21	33	27	23	38	26
Ibai Azanza	Equipo Kern Pharma	Spain	193 cm	74 kg	21 jaar	33	30	20	31	30	33	30	30	36	30
Ben Oliver	Modern Adventure Pro Cycling	New Zealand	183 cm	71 kg	29 jaar	33	32	20	31	20	23	35	20	36	37
Tuur Dens	Team Flanders-Baloise	Belgium	184 cm	81 kg	25 jaar	33	31	26	25	21	36	20	23	36	20
Sam Brand	Team Novo Nordisk	Great Britain	186 cm	76 kg	34 jaar	33	29	20	34	23	31	20	28	38	20
Ander Ganzabal	Euskaltel-Euskadi	Spain	176 cm	63 kg	26 jaar	33	29	20	33	23	33	20	26	37	20
Mattia Stenico	Bardiani CSF 7 Saber	Italy		0 kg	19 jaar	33	29	20	35	24	30	20	24	38	20
David Lozano	Team Novo Nordisk	Spain	178 cm	63 kg	37 jaar	33	27	20	34	26	27	20	31	34	20
Carlos Samudio	Solution Tech-NIPPO-Rali	Panama		0 kg	28 jaar	33	27	20	32	30	26	20	33	35	20
Antonio Polga	Team Novo Nordisk	Italy		0 kg	26 jaar	33	29	20	35	21	29	20	28	37	20
Marco Manenti	Bardiani CSF 7 Saber	Italy	184 cm	0 kg	23 jaar	33	31	20	31	22	36	20	22	36	20
Hugo Scala	Modern Adventure Pro Cycling	United States		0 kg	28 jaar	32	29	20	34	20	29	20	24	30	20
Hamish Beadle	Team Novo Nordisk	New Zealand	167 cm	64 kg	27 jaar	32	31	20	28	20	34	20	27	29	20
Quinten De Graeve	Team Novo Nordisk	Belgium		0 kg	25 jaar	32	28	24	27	21	34	20	26	35	20
Hamish Armitt	Team Novo Nordisk	Great Britain		0 kg	23 jaar	32	28	20	34	20	24	23	27	34	23
César Pérez	Equipo Kern Pharma	Spain	183 cm	66 kg	21 jaar	32	29	20	34	21	27	20	25	37	20
Samuel Flórez	Modern Adventure Pro Cycling	Colombia	180 cm	63 kg	20 jaar	32	31	20	29	20	24	34	25	30	35
Declan Irvine	Team Novo Nordisk	Australia	178 cm	75 kg	26 jaar	32	28	25	26	21	35	20	25	33	20
Alessandro Iacchi	Solution Tech-NIPPO-Rali	Italy	170 cm	59 kg	26 jaar	31	28	20	30	22	32	20	29	33	20
Edoardo Cipollini	MBH Bank Ballan Telecom Fort	Italy	180 cm	0 kg	20 jaar	31	29	20	33	23	25	20	20	34	20
Unai Aznar	Euskaltel-Euskadi	Spain	175 cm	68 kg	23 jaar	31	29	20	24	27	27	32	24	32	32
Kieran Haug	Modern Adventure Pro Cycling	United States	190 cm	67 kg	23 jaar	31	30	20	32	25	26	30	28	32	30
Ian Lopez de San Roman	Modern Adventure Pro Cycling	United States	180 cm	64 kg	22 jaar	31	28	20	31	31	28	20	29	33	20
Nolan Huysmans	Team Flanders-Baloise	Belgium		0 kg	20 jaar	31	27	20	26	20	34	20	20	32	20
Brody McDonald	Modern Adventure Pro Cycling	United States	175 cm	65 kg	23 jaar	31	29	23	29	20	33	20	22	31	20
Iker Villar	Caja Rural-Seguros RGA	Spain	183 cm	73 kg	19 jaar	30	26	20	24	20	34	20	24	23	20
Gabriele Bessega	Team Polti VisitMalta	Italy	181 cm	0 kg	21 jaar	30	30	20	25	20	31	27	22	31	26
Célestin Wattelle	Team Novo Nordisk	France		0 kg	22 jaar	30	27	20	24	20	33	20	26	29	20
Colin Savioz	Unibet Rose Rockets	France	172 cm	53 kg	21 jaar	30	27	20	30	28	25	27	26	32	26
Zsombor Takács	MBH Bank Ballan Telecom Fort	Hungary		0 kg	20 jaar	30	30	20	31	20	27	20	23	33	20
Camille Charret	Cofidis	France		0 kg	19 jaar	30	29	20	23	22	32	29	20	32	29
Edward Cruz Martínez	Bardiani CSF 7 Saber	Colombia		0 kg	19 jaar	30	24	20	29	30	26	20	27	31	20
Santiago Ferraro	Bardiani CSF 7 Saber	Italy		0 kg	19 jaar	29	28	20	29	20	29	20	23	34	20
Luca Verrando	Solution Tech-NIPPO-Rali	Italy		0 kg	21 jaar	29	26	20	29	20	30	20	24	32	20
Tommaso Bessega	Team Polti VisitMalta	Italy	181 cm	0 kg	21 jaar	29	27	20	30	21	27	26	23	33	25
Andrea Montagner	Bardiani CSF 7 Saber	Italy		0 kg	20 jaar	29	26	20	26	20	30	20	24	30	20
Yago Aguirre	Euskaltel-Euskadi	Spain		0 kg	21 jaar	29	25	20	24	20	31	20	24	30	20
Samuel Boardman	Modern Adventure Pro Cycling	United States		0 kg	30 jaar	29	26	20	30	23	27	21	24	30	20
Umberto Poli	Team Novo Nordisk	Italy	167 cm	0 kg	29 jaar	29	25	20	23	20	32	20	25	25	20
Iker Gómez	Equipo Kern Pharma	Spain	180 cm	74 kg	19 jaar	28	24	20	30	22	22	20	22	30	20
Filippo Cettolin	Bardiani CSF 7 Saber	Italy		0 kg	19 jaar	28	25	20	25	20	30	20	24	29	20
Matteo Regnanti	Solution Tech-NIPPO-Rali	Italy	174 cm	0 kg	24 jaar	28	27	20	29	21	25	20	23	31	20
Martín Rey	Burgos Burpellet BH	Spain	177 cm	65 kg	22 jaar	28	25	20	29	22	24	20	24	29	20
Robin Carpenter	Modern Adventure Pro Cycling	United States	178 cm	0 kg	33 jaar	28	24	20	29	28	21	20	23	28	20
Aidan Buttigieg	Team Polti VisitMalta	Malta	172 cm	68 kg	28 jaar	28	24	20	20	22	21	30	24	25	32
Unai Ramos	Equipo Kern Pharma	Spain	175 cm	60 kg	20 jaar	28	25	20	29	23	22	20	25	29	20
Tomoya Koyama	Burgos Burpellet BH	Japan	173 cm	68 kg	27 jaar	28	26	20	23	20	30	20	24	28	20
Gorka Corres	Caja Rural-Seguros RGA	Spain	176 cm	63 kg	20 jaar	27	24	20	28	20	25	20	22	31	20
Pablo Lospitao	Caja Rural-Seguros RGA	Spain	187 cm	67 kg	20 jaar	27	24	20	28	20	22	20	23	29	20
Bailey McDonald	Team Novo Nordisk	Australia		0 kg	22 jaar	27	24	20	22	20	30	20	22	28	20
Balint Makrai	MBH Bank Ballan Telecom Fort	Hungary		0 kg	19 jaar	26	25	20	28	20	21	20	20	28	20
Dario Giuliano	Team Polti VisitMalta	France	177 cm	63 kg	21 jaar	26	24	20	27	20	23	20	23	29	20
Anton Muller	Team Novo Nordisk	France		0 kg	27 jaar	26	24	20	24	20	27	20	25	26	20
Yen Yi Ho	Equipo Kern Pharma	Taiwan	177 cm	63 kg	24 jaar	26	24	20	26	20	27	20	24	27	20
Théo Lévêque	Team TotalEnergies	France	173 cm	0 kg	22 jaar	26	25	20	25	26	24	20	25	27	20
Gari Ugarte	Euskaltel-Euskadi	Spain		0 kg	20 jaar	26	23	20	28	22	22	20	22	28	20
Adrián Benito	Team Polti VisitMalta	Spain		0 kg	21 jaar	25	23	20	26	20	21	20	20	28	20
Nathan Smith	Team Novo Nordisk	Great Britain		0 kg	25 jaar	25	22	20	23	21	23	20	25	25	20
Jose Maria Martin Muñoz	Equipo Kern Pharma	Spain	189 cm	68 kg	25 jaar	24	22	20	24	21	24	20	23	25	20
Jacopo Colladon	Team Novo Nordisk	Italy		0 kg	22 jaar	24	23	20	24	20	23	20	23	25	20
Lucas Terrier	Team Novo Nordisk	France		0 kg	19 jaar	24	24	20	22	20	24	20	22	25	20
Ellande Larronde	Caja Rural-Seguros RGA	France	183 cm	71 kg	19 jaar	24	25	20	25	20	22	20	20	27	20
Lucas Towers	Modern Adventure Pro Cycling	Great Britain	177 cm	58 kg	22 jaar	23	22	20	24	20	21	20	20	23	20
Adrian Fajardo Toledo	Burgos Burpellet BH	Spain		0 kg	22 jaar	23	22	20	24	20	21	20	20	24	20
Milan Van den Haute	Team Flanders-Baloise	Belgium		0 kg	20 jaar	23	25	20	21	20	23	23	20	26	23
Juan José López	Team Novo Nordisk	Spain		0 kg	19 jaar	23	23	20	22	20	21	20	23	24	20
Louis-Marie Posnic	Team Novo Nordisk	France		0 kg	22 jaar	23	22	20	22	20	23	20	23	24	20
Lucas Dauge	Team Novo Nordisk	France	167 cm	0 kg	29 jaar	23	23	20	21	20	22	20	24	23	20
Samuel Fernández Heres	Euskaltel-Euskadi	Spain		0 kg	22 jaar	23	22	20	23	20	21	20	22	23	20
Ezra Caudell	Modern Adventure Pro Cycling	United States		0 kg	19 jaar	20	20	20	20	20	20	20	20	20	20
Matteo Turconi	Bardiani CSF 7 Saber	Italy	185 cm	67 kg	18 jaar	20	20	20	20	20	20	20	20	20	20
