Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Kamil Małecki	Pinarello-Q36.5 Pro Cycling Team	Poland	174 cm	69 kg	30 jaar	58	50	65	39	23	45	38	28	60	41
Nikias Arndt	Bahrain Victorious	Germany	187 cm	77 kg	34 jaar	58	49	45	43	30	65	32	35	52	27
Gal Glivar	Alpecin-Premier Tech	Slovenia	171 cm	64 kg	23 jaar	58	42	24	64	32	42	30	42	63	20
Matthias Schwarzbacher	EF Education-EasyPost	Slovakia	183 cm	72 kg	20 jaar	58	53	43	46	27	43	52	29	58	50
Luca Vergallito	Alpecin-Premier Tech	Italy	190 cm	67 kg	28 jaar	58	35	20	61	51	33	26	53	56	25
Ward Vanhoof	Team Flanders-Baloise	Belgium	186 cm	75 kg	26 jaar	58	52	60	47	24	50	34	34	66	36
Fabio Van den Bossche	Soudal Quick-Step	Belgium	175 cm	65 kg	25 jaar	58	54	50	53	27	59	23	40	65	20
Stan Dewulf	Decathlon CMA CGM Team	Belgium	176 cm	74 kg	28 jaar	58	50	59	56	34	53	31	49	64	20
Alessandro Verre	MBH Bank Ballan Telecom Fort	Italy	170 cm	59 kg	24 jaar	58	41	20	59	59	33	42	42	58	35
William Blume Levy	Uno-X Mobility	Denmark	192 cm	0 kg	25 jaar	58	49	58	57	27	53	20	31	67	20
Samuele Battistella	EF Education-EasyPost	Italy	180 cm	67 kg	27 jaar	58	44	26	65	33	46	23	38	64	22
Sébastien Grignard	Lotto-Intermarché	Belgium	179 cm	68 kg	26 jaar	58	46	60	48	28	51	27	38	64	26
Simon Clarke	NSN Cycling Team	Australia	175 cm	63 kg	39 jaar	58	46	42	64	28	44	20	37	66	20
Darren Rafferty	EF Education-EasyPost	Ireland	176 cm	65 kg	22 jaar	57	49	25	55	51	34	59	44	59	57
Callum Thornley	Red Bull-BORA-hansgrohe	Great Britain	190 cm	76 kg	22 jaar	57	49	29	42	36	41	54	32	47	44
James Shaw	EF Education-EasyPost	Great Britain	179 cm	63 kg	29 jaar	57	38	32	61	54	32	31	44	56	30
Lander Loockx	Unibet Rose Rockets	Belgium	186 cm	70 kg	28 jaar	57	56	55	56	36	50	23	39	67	20
Dries De Pooter	Team Jayco-AlUla	Belgium	182 cm	66 kg	23 jaar	57	48	51	52	29	58	20	39	61	20
Jarno Widar	Lotto-Intermarché	Belgium	166 cm	54 kg	20 jaar	57	36	20	51	62	26	26	44	52	20
Kamiel Bonneu	Solution Tech-NIPPO-Rali	Belgium	178 cm	64 kg	26 jaar	57	33	30	61	40	30	20	54	52	20
Andrea Raccagni Noviero	Soudal Quick-Step	Italy	185 cm	75 kg	22 jaar	57	50	38	54	40	50	41	51	63	38
Paul Hennequin	Euskaltel-Euskadi	France	175 cm	64 kg	23 jaar	57	49	26	37	23	70	20	28	51	20
Alexander Hajek	Red Bull-BORA-hansgrohe	Austria	176 cm	55 kg	22 jaar	57	39	20	61	43	41	20	51	60	20
Mattia Bais	Team Polti VisitMalta	Italy	175 cm	66 kg	29 jaar	57	41	31	64	42	38	29	40	63	27
Gijs Leemreize	Team Picnic PostNL	Netherlands	190 cm	66 kg	26 jaar	57	34	20	58	60	30	27	46	44	20
Nicolas Breuillard	Team TotalEnergies	France	175 cm	0 kg	25 jaar	57	43	20	65	34	36	20	38	68	20
Ander Okamika	Burgos Burpellet BH	Spain	190 cm	70 kg	32 jaar	56	41	20	61	45	33	25	42	64	25
Sean Flynn	Team Picnic PostNL	Great Britain	177 cm	67 kg	25 jaar	56	46	50	52	31	59	27	45	56	27
Tom Crabbe	Team Flanders-Baloise	Belgium	179 cm	70 kg	20 jaar	56	48	26	33	21	70	20	24	54	20
Harm Vanhoucke	Pinarello-Q36.5 Pro Cycling Team	Belgium	181 cm	65 kg	28 jaar	56	35	20	53	58	32	28	51	55	26
Daniel Skerl	Bahrain Victorious	Italy	177 cm	80 kg	22 jaar	56	46	36	32	22	70	20	30	43	20
Sjoerd Bax	Pinarello-Q36.5 Pro Cycling Team	Netherlands	185 cm	78 kg	30 jaar	56	49	54	56	32	34	46	36	63	42
Artem Shmidt	INEOS Grenadiers	United States	191 cm	76 kg	22 jaar	56	43	29	53	24	40	41	29	59	40
Adrien Maire	Unibet Rose Rockets	France		0 kg	25 jaar	56	39	20	60	50	35	25	46	59	20
